user_id,date,treatment,y,cost,log_propensity,propensity_score,age,income,education,gender_raw,region,z,domain,w_continuous,w_neg,z_neg,cluster_id,neighbor_exposure,channel,customer_segment,previous_purchases,engagement_score,gender
2071,2024-01-01,0,704.8752471111943,6.417470747606517,0.0237537528588394,0.5059381590047157,62.57593057912495,37838.67501307839,bachelors,F,east,1,target,0.4692419557277826,-0.7737869797075454,1.9391586580648137,21,0.4,direct_mail,budget,0,45.28189914295491,female
6853,2024-01-01,1,845.8551618748338,22.102689245430657,-0.1269454146961925,0.4683061973997056,66.7683833328038,25235.14648073573,high_school,Female,east,0,target,0.4266772692018726,0.5705614913845806,0.5130912902170275,27,0.6,paid_search,standard,4,12.342795982995751,female
6031,2024-01-01,1,912.6404646408096,58.3250051526054,-0.4846764770752492,0.3811484530115902,31.132797551115843,71411.68736779205,bachelors,M,east,1,source,-0.6072465088774337,-0.9090140956213896,-0.4209455650885804,20,0.3,email,premium,6,40.0339784504922,male
6024,2024-01-01,0,539.6838012632386,10.74815900503723,-0.6653130418674539,0.3395471222305357,36.281259613854864,10509.140247088622,high_school,Female,west,1,target,1.019851816922813,-1.753076590267174,-1.3159979543667246,42,0.5,social_media,budget,5,12.570910425384236,female
649,2024-01-01,0,503.30780112533495,10.392073176259316,-0.824782565227129,0.304749398167889,29.89314841510785,12255.638972570834,high_school,M,east,0,source,1.273990383725028,0.6701666249770553,0.3495864706612143,23,0.8,paid_search,budget,4,23.448236518149017,male
678,2024-01-01,0,600.3164405672536,6.674199456546859,-0.7988122904590277,0.3102796387681948,39.51584658846073,31770.42589260864,high_school,Male,east,1,source,-1.034167405771643,1.5239355788833198,0.6008113565545742,38,0.2,social_media,budget,3,17.82442229175446,male
8083,2024-01-01,1,844.8791338395251,64.23027011116066,-0.2996442069773996,0.425644462052773,30.507886011667267,44614.08242563424,bachelors,M,west,1,target,1.720286242664563,-2.3374460110014015,1.481894965983194,37,0.6,direct_mail,budget,1,16.467855623846315,male
9634,2024-01-01,0,488.7129359821295,8.827936951807555,-0.5483268744457155,0.3662526739519232,47.59954682363504,13803.962516548712,bachelors,Male,west,1,source,0.3082128195804824,-1.494460627044766,1.6703478967700107,16,0.8,email,standard,0,15.264084060242942,male
2011,2024-01-01,0,701.9111052800819,6.981338348945488,-0.8135811508864439,0.3071278996125803,52.82802261622394,14631.485422159263,bachelors,Other,central,1,source,-1.5822822871625772,-0.0781272513195687,0.240483064461926,11,0.1,paid_search,budget,6,33.08731898455719,other
4192,2024-01-01,1,709.3536122059845,69.52167009535206,-0.8496957643317677,0.2994966817945544,37.84627616931798,11733.38056182785,masters,M,north,0,target,-1.11977546668203,0.4295922314602536,0.2057539943571353,30,0.6,email,budget,1,26.520171991516573,male
756,2024-01-01,1,886.3648747230026,81.81304020591338,-0.3155762228410636,0.4217542329398077,31.21310914826965,63909.07306197297,bachelors,Male,south,1,source,0.6053543178690692,-1.6837525767744463,-1.0967845247930583,43,0.6,social_media,budget,2,43.1293343193901,male
1029,2024-01-01,1,1428.3298280000074,36.363869579162085,0.9566966935855316,0.7224599409285347,72.14510581877364,111310.60875326952,high_school,male,south,1,source,0.5034424483868173,-1.2580152373342062,0.3179343854583835,35,0.5,social_media,premium,0,28.1859091148268,male
9685,2024-01-01,0,629.8886196574338,10.747274688390654,-0.6568336484780978,0.3414512467613468,34.89970314064814,23072.79897045738,masters,Female,south,1,source,-0.9277785049781728,-0.0284807365496537,1.9469043001240331,21,0.6,email,standard,7,29.165291894721644,female
7394,2024-01-01,1,911.11628353049,26.586509065819264,-0.2154962594203778,0.4463334580057517,50.8148373014638,29086.84219096926,masters,Male,east,1,target,-0.6133071367967312,0.0483058522522991,-0.3798018648990827,17,0.7,social_media,premium,2,20.613970750938453,male
